statuscode,readable,leds_primary,leds_secondary
east_11_outbound,east_11_outbound,27-0,28-1
east_11_inbound,east_11_inbound,28-1,27-0
east_12_outbound,east_12_outbound,,27-0
east_12_inbound,east_12_inbound,27-0,
south_1_outbound,south_1_outbound,29-10,28-11
south_1_inbound,south_1_inbound,28-11,29-10
south_2_outbound,south_2_outbound,30-9,29-10
south_2_inbound,south_2_inbound,29-10,30-9
south_3_outbound,south_3_outbound,31-8,30-9
south_3_inbound,south_3_inbound,30-9,31-8
south_4_outbound,south_4_outbound,32-7,31-8
south_4_inbound,south_4_inbound,31-8,32-7
south_5_outbound,south_5_outbound,33-7,32-7
south_5_inbound,south_5_inbound,32-7,33-7
south_6_outbound,south_6_outbound,34-7,33-7
south_6_inbound,south_6_inbound,33-7,34-7
south_7_outbound,south_7_outbound,35-8,34-7
south_7_inbound,south_7_inbound,34-7,35-8
south_8_outbound,south_8_outbound,36-9,35-8
south_8_inbound,south_8_inbound,35-8,36-9
south_9_outbound,south_9_outbound,37-9,36-9
south_9_inbound,south_9_inbound,36-9,37-9
south_10_outbound,south_10_outbound,38-9,37-9
south_10_inbound,south_10_inbound,37-9,38-9
south_11_outbound,south_11_outbound,39-9,38-9
south_11_inbound,south_11_inbound,38-9,39-9
south_12_outbound,south_12_outbound,40-9,39-9
south_12_inbound,south_12_inbound,39-9,40-9
south_13_outbound,south_13_outbound,41-9,40-9
south_13_inbound,south_13_inbound,40-9,41-9
south_14_outbound,south_14_outbound,42-9,41-9
south_14_inbound,south_14_inbound,41-9,42-9
south_15_outbound,south_15_outbound,43-9,42-9
south_15_inbound,south_15_inbound,42-9,43-9
south_16_outbound,south_16_outbound,44-9,43-9
south_16_inbound,south_16_inbound,43-9,44-9
south_17_outbound,south_17_outbound,45-9,44-9
south_17_inbound,south_17_inbound,44-9,45-9
south_18_outbound,south_18_outbound,46-9,45-9
south_18_inbound,south_18_inbound,45-9,46-9
south_19_outbound,south_19_outbound,47-9,46-9
south_19_inbound,south_19_inbound,46-9,47-9
south_20_outbound,south_20_outbound,48-9,47-9
south_20_inbound,south_20_inbound,47-9,48-9
south_21_outbound,south_21_outbound,49-9,48-9
south_21_inbound,south_21_inbound,48-9,49-9
south_22_outbound,south_22_outbound,50-9,49-9
south_22_inbound,south_22_inbound,49-9,50-9
south_23_outbound,south_23_outbound,51-9,50-9
south_23_inbound,south_23_inbound,50-9,51-9
south_24_outbound,south_24_outbound,52-9,51-9
south_24_inbound,south_24_inbound,51-9,52-9
south_25_outbound,south_25_outbound,53-9,52-9
south_25_inbound,south_25_inbound,52-9,53-9
south_26_outbound,south_26_outbound,54-9,53-9
south_26_inbound,south_26_inbound,53-9,54-9
south_27_outbound,south_27_outbound,55-9,54-9
south_27_inbound,south_27_inbound,54-9,55-9
south_28_outbound,south_28_outbound,56-9,55-9
south_28_inbound,south_28_inbound,55-9,56-9
south_29_outbound,south_29_outbound,57-9,56-9
south_29_inbound,south_29_inbound,56-9,57-9
south_30_outbound,south_30_outbound,58-9,57-9
south_30_inbound,south_30_inbound,57-9,58-9
south_31_outbound,south_31_outbound,59-9,58-9
south_31_inbound,south_31_inbound,58-9,59-9
south_32_outbound,south_32_outbound,60-9,59-9
south_32_inbound,south_32_inbound,59-9,60-9
south_33_outbound,south_33_outbound,61-9,60-9
south_33_inbound,south_33_inbound,60-9,61-9
south_34_outbound,south_34_outbound,62-9,61-9
south_34_inbound,south_34_inbound,61-9,62-9
south_35_outbound,south_35_outbound,63-9,62-9
south_35_inbound,south_35_inbound,62-9,63-9
south_36_outbound,south_36_outbound,,63-9
south_36_inbound,south_36_inbound,63-9,
test,test,,
