statuscode,readable,leds_primary,leds_secondary
1146_1168,Bismarckplatz -> Seegarten,25-1,24-1
1168_1146,Seegarten -> Bismarckplatz,23-1,24-1
697_696,Eppelheim Rathaus -> Kirchheimer Straße,28-29,28-28
696_697,Kirchheimer Straße -> Eppelheim Rathaus,28-27,28-28
695_697,Jakobsgasse -> Eppelheim Rathaus,28-27,28-26
697_695,Eppelheim Rathaus -> Jakobsgasse,28-25,28-26
1261_695,Kranichweg/Stotz -> Jakobsgasse,28-25,28-24
695_1261,Jakobsgasse -> Kranichweg/Stotz,28-23,28-24
1256_1261,Marktstraße -> Kranichweg/Stotz,28-23,28-22
1261_1256,Kranichweg/Stotz -> Marktstraße,28-21,28-22
1252_1256,Henkel-Teroson-Straße -> Marktstraße,28-21,28-20
1256_1252,Marktstraße -> Henkel-Teroson-Straße,27-19,28-20
4275_1252,Eppelheimer Terrasse -> Henkel-Teroson-Straße,27-19,26-18
1252_4275,Henkel-Teroson-Straße -> Eppelheimer Terrasse,26-17,26-18
4274_4275,Gadamerplatz -> Eppelheimer Terrasse,26-17,26-16
4275_4274,Eppelheimer Terrasse -> Gadamerplatz,27-15,26-16
4272_4274,HD Hauptbahnhof Süd -> Gadamerplatz,27-15,28-14
4274_4272,Gadamerplatz -> HD Hauptbahnhof Süd,29-13,28-14
6794_4272,Montpellierbrücke -> HD Hauptbahnhof Süd,29-13,30-12
4272_6794,HD Hauptbahnhof Süd -> Montpellierbrücke,30-10,31-11
6791_6794,Ringstraße - Montpellierbrücke,30-10,29-9
6794_6791,Montpellierbrücke -> Ringstraße,27-7,28-8
1193_6791,Stadtbücherei -> Ringstraße,27-7,26-6
6791_1193,Ringstraße -> Stadtbücherei,25-3,25-4
1168_1193,Seegarten -> Stadtbücherei,25-3,25-2
1193_1168,Stadtbücherei -> Seegarten,25-1,25-2
1146_1168,Bismarckplatz -> Seegarten,25-1,24-1
1168_1146,Seegarten -> Bismarckplatz,23-1,24-1
2591_2594,Seckenheim OEG-Bahnhof -> Seckenheim Rathaus,6-31,7-30
2594_2591,Seckenheim Rathaus -> Seckenheim OEG-Bahnhof,8-29,7-30
629_2591,Neu-Edingen Gewerbegebiet -> Seckenheim OEG-Bahnhof,8-29,9-28
2591_629,Seckenheim OEG-Bahnhof -> Neu-Edingen Gewerbegebiet,10-27,9-28
623_629,Edingen West -> Neu-Edingen Gewerbegebiet,10-27,11-26
629_623,Neu-Edingen Gewerbegebiet -> Edingen West,12-25,11-26
619_623,Edingen Bahnhof -> Edingen West,12-25,13-24
623_619,Edingen West -> Edingen Bahnhof,14-23,13-24
1304_619,Wieblingen Taubenfeld -> Edingen Bahnhof,14-23,15-22
619_1304,Edingen Bahnhof -> Wieblingen Taubenfeld,16-21,15-22
1302_1304,Wieblingen Mitte -> Wieblingen Taubenfeld,16-21,17-20
1304_1302,Wieblingen Taubenfeld -> Wieblingen Mitte,18-19,19-18
1693_1302,SRH Campus -> Wieblingen Mitte,18-19,19-18
1302_1693,Wieblingen Mitte -> SRH Campus,20-18,19-18
1180_1693,Ochsenkopf -> SRH Campus,20-18,21-18
1693_1180,SRH Campus -> Ochsenkopf,22-17,21-18
1331_1180,Berufsschule -> Ochsenkopf,22-17,22-16
1180_1331,Ochsenkopf -> Berufsschule,22-15,22-16
1330_1331,Gneisenaustraße Süd -> Berufsschule,22-15,22-14
1331_1330,Berufsschule -> Gneisenaustraße Süd,23-13,22-14
1160_1330,HD Hauptbahnhof -> Gneisenaustraße Süd,23-13,24-12
1330_1160,Gneisenaustraße Süd -> HD Hauptbahnhof,25-9,25-10
1194_1160,Stadtwerke -> HD Hauptbahnhof,25-9,25-8
1160_1194,HD Hauptbahnhof -> Stadtwerke,25-7,25-8
1193_1194,Stadtbücherei -> Stadtwerke,25-7,25-6
1194_1193,Stadtwerke -> Stadtbücherei,25-3,25-4
1168_1193,Seegarten -> Stadtbücherei,25-3,25-2
1193_1168,Stadtbücherei -> Seegarten,25-1,25-2
1146_1168,Bismarckplatz -> Seegarten,25-1,24-1
1168_1146,Seegarten -> Bismarckplatz,23-1,24-1
1260_1146,Brückenstraße -> Bismarckplatz,23-1,22-1
1146_1260,Bismarckplatz -> Brückenstraße,21-1,22-1
1233_1260,Kußmaulstraße -> Brückenstraße,21-1,20-1
1260_1233,Brückenstraße -> Kußmaulstraße,19-1,20-1
1225_1233,Blumenthalstraße -> Kußmaulstraße,19-1,18-1
1233_1225,Kußmaulstraße -> Blumenthalstraße,17-1,18-1
1135_1225,Kapellenweg -> Blumenthalstraße,17-1,16-2
1225_1135,Blumenthalstraße -> Kapellenweg,15-3,16-2
1136_1135,Hans-Thoma-Platz -> Kapellenweg,15-3,14-4
1135_1136,Kapellenweg -> Hans-Thoma-Platz,13-5,14-4
1133_1136,Burgstraße -> Hans-Thoma-Platz,13-5,12-5
1136_1133,Hans-Thoma-Platz -> Burgstraße,9-5,10-5
516_1133,Dossenheim Süd -> Burgstraße,9-5,8-5
1133_516,Burgstraße -> Dossenheim Süd,7-5,8-5
515_516,Dossenheim Bahnhof -> Dossenheim Süd,7-5,6-6
516_515,Dossenheim Süd -> Dossenheim Bahnhof,5-7,6-6
5742_515,Dossenheim Nord -> Dossenheim Bahnhof,5-7,4-7
515_5742,Dossenheim Bahnhof -> Dossenheim Nord,3-7,4-7
3482_5742,Schriesheim Süd -> Dossenheim Nord,3-7,2-7
5742_3482,Dossenheim Nord -> Schriesheim Süd,1-7,2-7
3479_3482,Schriesheim Bahnhof -> Schriesheim Süd,1-7,0-7
3482_3479,Schriesheim Süd -> Schriesheim Bahnhof,0-7,0-7
1199_1229,Volkshochschule -> Jahnstraße,21-9,22-9
1229_1199,Jahnstraße -> Volkshochschule,23-7,23-8
6791_1194,Ringstraße -> Stadtwerke,25-7,25-6
1194_6791,Stadtwerke -> Ringstraße,27-7,26-6
1149_6794,Rudolf-Diesel-Straße -> Montpellierbrücke,30-10,31-11
6794_1149,Montpellierbrücke -> Rudolf-Diesel-Straße,32-11,31-11
