stretch_id,stretch_name,segment_number,lower_bound,upper_bound,out_of_map
8000013>8000078,Augsburg Hbf -> Donauwörth,3,83,100,
8000078>8000284,Donauwörth -> Nürnberg Hbf,0,0,8,
8000078>8000284,Donauwörth -> Nürnberg Hbf,1,8,25,
8000078>8000284,Donauwörth -> Nürnberg Hbf,2,25,41,
8000078>8000284,Donauwörth -> Nürnberg Hbf,3,41,58,
8000078>8000284,Donauwörth -> Nürnberg Hbf,4,58,75,
8000078>8000284,Donauwörth -> Nürnberg Hbf,5,75,91,
8000078>8000284,Donauwörth -> Nürnberg Hbf,6,91,100,
8000009>8000078,Ansbach -> Donauwörth,0,0,16,
8000009>8000078,Ansbach -> Donauwörth,1,16,50,
8000009>8000078,Ansbach -> Donauwörth,2,50,83,
8000009>8000078,Ansbach -> Donauwörth,3,83,100,
8000009>8000284,Ansbach -> Nürnberg Hbf,0,0,16,
8000009>8000284,Ansbach -> Nürnberg Hbf,1,16,50,
8000009>8000284,Ansbach -> Nürnberg Hbf,2,50,83,
8000009>8000284,Ansbach -> Nürnberg Hbf,3,83,100,
8000009>8000260,Ansbach -> Würzburg Hbf,0,0,8,
8000009>8000260,Ansbach -> Würzburg Hbf,1,8,25,
8000009>8000260,Ansbach -> Würzburg Hbf,2,25,41,
8000009>8000260,Ansbach -> Würzburg Hbf,3,41,58,
8000009>8000260,Ansbach -> Würzburg Hbf,4,58,75,
8000009>8000260,Ansbach -> Würzburg Hbf,5,75,91,
8000009>8000260,Ansbach -> Würzburg Hbf,6,91,100,
8000009>8000096,Ansbach -> Stuttgart Hbf,0,0,10,
8000009>8000096,Ansbach -> Stuttgart Hbf,1,10,30,
8000009>8000096,Ansbach -> Stuttgart Hbf,2,30,50,
8000009>8000096,Ansbach -> Stuttgart Hbf,3,50,70,
8000009>8000096,Ansbach -> Stuttgart Hbf,4,70,90,
8000009>8000096,Ansbach -> Stuttgart Hbf,5,90,100,
