trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-3281432353838358850,IC,2375,Hamburg Dammtor,2508221419,2508221420,25082214,8002548
-3281432353838358850,IC,2375,Hamburg Hbf,2508221425,2508221428,25082214,8002549
-3281432353838358850,IC,2375,Hamburg-Harburg,2508221438,2508221440,25082214,8000147
-3281432353838358850,IC,2375,Lüneburg,2508221456,2508221458,25082214,8000238
-3281432353838358850,IC,2375,Uelzen,2508221513,2508221515,25082215,8000168
-3281432353838358850,IC,2375,Celle,2508221537,2508221538,25082215,8000064
-3281432353838358850,IC,2375,Hannover Hbf,2508221558,2508221601,25082215,8000152
-3636097180675521950,IC,2265,Hamburg Hbf,2508221936,2508221936,25082219,8002549
-3642361880164599102,IC,2431,Hannover Hbf,2508221513,2508221536,25082215,8000152
-3876277476123700807,ICE,1051,Hannover Hbf,2508221702,2508221705,25082217,8000152
-3935110464616838577,ICE,849,Hannover Hbf,2508221428,2508221431,25082214,8000152
-4082486282805981500,ICE,1030,Hamburg Hbf,2508221949,2508221949,25082219,8002549
-4140470391187734614,IC,2440,Hannover Hbf,2508221523,2508221540,25082215,8000152
-4151394777712103696,ICE,882,Hamburg-Harburg,2508221341,2508221343,25082213,8000147
-4151394777712103696,ICE,882,Hamburg Hbf,2508221354,2508221357,25082213,8002549
-4151394777712103696,ICE,882,Hamburg Dammtor,2508221400,2508221401,25082214,8002548
-4177690667848918592,ICE,689,Hamburg-Harburg,2508221311,2508221313,25082213,8000147
-4177690667848918592,ICE,689,Hannover Hbf,2508221422,2508221426,25082214,8000152
-4463983841688751065,ICE,209,Hamburg-Altona,2508222029,2508222029,25082220,8002553
-4463983841688751065,ICE,209,Hamburg Dammtor,2508222037,2508222038,25082220,8002548
-4463983841688751065,ICE,209,Hamburg Hbf,2508222042,2508222046,25082220,8002549
-4463983841688751065,ICE,209,Hamburg-Harburg,2508222055,2508222056,25082220,8000147
-4503530441970809798,ICE,603,Hamburg-Altona,2508221334,2508221334,25082213,8002553
-4503530441970809798,ICE,603,Hamburg Hbf,2508221345,2508221348,25082213,8002549
-4503530441970809798,ICE,603,Hamburg-Harburg,2508221358,2508221400,25082213,8000147
-4503530441970809798,ICE,603,Uelzen,2508221429,2508221431,25082214,8000168
-4512211485092713032,IC,2038,Hannover Hbf,2508221423,2508221445,25082214,8000152
-4529047975829740909,ICE,771,Hamburg Dammtor,2508221515,2508221515,25082215,8002548
-4529047975829740909,ICE,771,Hamburg Hbf,2508221521,2508221524,25082215,8002549
-4529047975829740909,ICE,771,Hannover Hbf,2508221638,2508221641,25082216,8000152
-4531120744728068355,ICE,1171,Hamburg Dammtor,2508221614,2508221615,25082216,8002548
-4531120744728068355,ICE,1171,Hamburg Hbf,2508221620,2508221624,25082216,8002549
-4531120744728068355,ICE,1171,Hannover Hbf,2508221738,2508221741,25082217,8000152
-4550645364654346112,ICE,955,Hannover Hbf,2508222028,2508222031,25082220,8000152
-4576847760190146350,ICE,742,Hannover Hbf,2508221953,2508221956,25082219,8000152
