trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,request_uic
-3757333051659636301,ICE,537,Hannover Hbf,2508191214,2508191226,25081912,8000152
-3876277476123700807,ICE,1051,Hannover Hbf,2508191702,2508191705,25081917,8000152
-3935110464616838577,ICE,849,Hannover Hbf,2508191428,2508191431,25081914,8000152
-4082486282805981500,ICE,1030,Hamburg Hbf,2508191949,2508191949,25081919,8002549
-4140470391187734614,IC,2440,Hannover Hbf,2508191523,2508191540,25081915,8000152
-4151394777712103696,ICE,882,Hannover Hbf,2508191232,2508191236,25081912,8000152
-4151394777712103696,ICE,882,Hamburg-Harburg,2508191341,2508191343,25081913,8000147
-4151394777712103696,ICE,882,Hamburg Hbf,2508191354,2508191357,25081913,8002549
-4151394777712103696,ICE,882,Hamburg Dammtor,2508191400,2508191401,25081914,8002548
-4177690667848918592,ICE,689,Hamburg-Altona,2508191246,2508191246,25081912,8002553
-4177690667848918592,ICE,689,Hamburg Dammtor,2508191252,2508191254,25081912,8002548
-4177690667848918592,ICE,689,Hamburg Hbf,2508191257,2508191301,25081912,8002549
-4177690667848918592,ICE,689,Hamburg-Harburg,2508191311,2508191313,25081913,8000147
-4177690667848918592,ICE,689,Hannover Hbf,2508191422,2508191426,25081914,8000152
-4463983841688751065,ICE,209,Hamburg-Altona,2508192029,2508192029,25081920,8002553
-4463983841688751065,ICE,209,Hamburg Dammtor,2508192037,2508192038,25081920,8002548
-4463983841688751065,ICE,209,Hamburg Hbf,2508192042,2508192046,25081920,8002549
-4463983841688751065,ICE,209,Hamburg-Harburg,2508192055,2508192056,25081920,8000147
-4503530441970809798,ICE,603,Hamburg-Altona,2508191334,2508191334,25081913,8002553
-4503530441970809798,ICE,603,Hamburg Hbf,2508191345,2508191348,25081913,8002549
-4503530441970809798,ICE,603,Hamburg-Harburg,2508191358,2508191400,25081913,8000147
-4503530441970809798,ICE,603,Uelzen,2508191429,2508191431,25081914,8000168
-4512211485092713032,IC,2038,Hannover Hbf,2508191423,2508191445,25081914,8000152
-4529047975829740909,ICE,771,Hamburg Dammtor,2508191515,2508191515,25081915,8002548
-4529047975829740909,ICE,771,Hamburg Hbf,2508191521,2508191524,25081915,8002549
-4529047975829740909,ICE,771,Hannover Hbf,2508191638,2508191641,25081916,8000152
-4531120744728068355,ICE,1171,Hamburg Dammtor,2508191614,2508191615,25081916,8002548
-4531120744728068355,ICE,1171,Hamburg Hbf,2508191620,2508191624,25081916,8002549
-4531120744728068355,ICE,1171,Hannover Hbf,2508191738,2508191741,25081917,8000152
-4550645364654346112,ICE,955,Hannover Hbf,2508192028,2508192031,25081920,8000152
-4576847760190146350,ICE,742,Hannover Hbf,2508191953,2508191956,25081919,8000152
-459359605872297552,EC,1197,Hamburg Hbf,2508191703,2508191703,25081917,8002549
-4638125445494224250,EC,392,Hamburg Hbf,2508191454,2508191454,25081914,8002549
-4776595268609006900,ICE,1594,Hannover Hbf,2508191902,2508191918,25081919,8000152
-4776595268609006900,ICE,1594,Celle,2508191937,2508191938,25081919,8000064
-4776595268609006900,ICE,1594,Lüneburg,2508192013,2508192015,25081920,8000238
-4776595268609006900,ICE,1594,Hamburg-Harburg,2508192033,2508192035,25081920,8000147
-4776595268609006900,ICE,1594,Hamburg Hbf,2508192047,2508192050,25081920,8002549
-4776595268609006900,ICE,1594,Hamburg Dammtor,2508192053,2508192054,25081920,8002548
-4853549543155830626,ICE,70,Hannover Hbf,2508192017,2508192020,25081920,8000152
-4933670799214201742,ICE,108,Hamburg-Harburg,2508191901,2508191903,25081919,8000147
-4933670799214201742,ICE,108,Hamburg Hbf,2508191914,2508191917,25081919,8002549
-4933670799214201742,ICE,108,Hamburg Dammtor,2508191920,2508191921,25081919,8002548
-4933670799214201742,ICE,108,Hamburg-Altona,2508191930,2508191930,25081919,8002553
