led,color
55-24,#3D422A
56-24,#3D422A
57-24,#3D422A
58-24,#3D422A
59-24,#3D422A
60-24,#3D422A
61-24,#3D422A
23-25,#111111
26-25,#6E7A3F
27-25,#3D422A
28-25,#3D422A
29-25,#6E7A3F
30-25,#111111
31-25,#111111
32-25,#111111
38-25,#3D422A
41-25,#111111
47-25,#111111
62-25,#3D422A
23-26,#111111
26-26,#111111
29-26,#3D422A
33-26,#111111
37-26,#3D422A
40-26,#111111
47-26,#111111
23-27,#111111
27-27,#111111
28-27,#111111
29-27,#6E7A3F
34-27,#111111
36-27,#3D422A
39-27,#111111
47-27,#111111
23-28,#111111
29-28,#3D422A
32-28,#3D422A
33-28,#3D422A
34-28,#3D422A
35-28,#6E7A3F
36-28,#111111
37-28,#111111
38-28,#111111
47-28,#111111
30-29,#3D422A
31-29,#3D422A
35-29,#111111
35-30,#111111
